# time,clean_signal,noisy_signal
0.841,0.745,0.732
0.851,0.752,0.784
0.861,0.758,0.929
0.871,0.765,0.907
0.881,0.771,0.862
0.891,0.778,0.725
0.901,0.784,0.847
0.911,0.790,0.726
0.921,0.796,0.728
0.931,0.802,0.924
0.941,0.808,0.826
0.951,0.814,0.840
0.961,0.820,0.852
0.971,0.825,0.823
0.981,0.831,0.781
0.991,0.837,0.812
1.001,0.842,0.792
1.011,0.847,0.830
1.021,0.853,0.817
1.031,0.858,0.729
1.041,0.863,0.771
1.051,0.868,0.983
1.061,0.873,0.992
1.071,0.878,0.863
1.081,0.882,0.989
1.091,0.887,1.040
1.101,0.892,1.026
1.111,0.896,0.987
1.121,0.901,1.016
1.131,0.905,0.822
1.141,0.909,1.013
1.151,0.913,0.818
1.161,0.917,0.993
1.171,0.921,0.940
1.181,0.925,0.816
1.191,0.929,1.070
1.201,0.932,0.919
1.211,0.936,0.937
1.221,0.940,0.971
1.231,0.943,1.016
1.241,0.946,0.932
1.251,0.949,1.038
1.261,0.952,1.022
1.271,0.955,1.048
1.281,0.958,0.931
1.291,0.961,0.951
1.301,0.964,0.949
1.311,0.967,0.851
1.321,0.969,1.153
1.331,0.971,1.075
1.341,0.974,1.153
1.351,0.976,1.035
1.361,0.978,0.891
1.371,0.980,0.961
1.381,0.982,1.065
1.391,0.984,0.940
1.401,0.986,0.983
1.411,0.987,0.951
1.421,0.989,0.977
1.431,0.990,0.988
1.441,0.992,0.894
1.451,0.993,0.955
1.461,0.994,0.893
1.471,0.995,0.972
1.481,0.996,0.958
1.491,0.997,0.939
1.502,0.998,0.944
1.512,0.998,0.988
1.522,0.999,0.767
1.532,0.999,0.984
1.542,1.000,1.052
1.552,1.000,1.020
1.562,1.000,1.025
1.572,1.000,0.976
1.582,1.000,0.964
1.592,1.000,1.080
1.602,1.000,1.120
1.612,0.999,0.981
1.622,0.999,1.156
1.632,0.998,0.691
1.642,0.997,1.184
1.652,0.997,1.056
1.662,0.996,0.984
1.672,0.995,0.954
1.682,0.994,1.088
1.692,0.993,0.908
1.702,0.991,1.180
1.712,0.990,0.968
1.722,0.989,0.853
1.732,0.987,1.117
1.742,0.985,1.087
1.752,0.984,0.963
1.762,0.982,0.896
1.772,0.980,0.965
1.782,0.978,1.043
1.792,0.976,0.823
1.802,0.973,0.921
1.812,0.971,1.078
1.822,0.969,1.016
1.832,0.966,1.049
1.842,0.963,0.997
1.852,0.961,0.807
1.862,0.958,0.918
1.872,0.955,1.072
1.882,0.952,0.945
1.892,0.949,0.926
1.902,0.946,0.898
1.912,0.942,0.980
1.922,0.939,0.986
1.932,0.935,0.745
1.942,0.932,0.932
1.952,0.928,0.785
1.962,0.924,0.820
1.972,0.921,0.912
1.982,0.917,0.896
1.992,0.913,0.873
2.002,0.908,0.903
2.012,0.904,0.936
2.022,0.900,0.933
2.032,0.896,0.882
2.042,0.891,0.825
2.052,0.886,0.953
2.062,0.882,1.031
2.072,0.877,0.757
2.082,0.872,0.945
2.092,0.867,0.919
2.102,0.862,0.852
2.112,0.857,0.853
2.122,0.852,0.841
2.132,0.847,1.001
2.142,0.841,0.764
2.152,0.836,0.883
2.162,0.830,0.806
2.172,0.825,0.778
2.182,0.819,0.914
2.192,0.813,0.745
2.202,0.807,0.726
2.212,0.801,0.680
2.222,0.795,0.822
2.232,0.789,0.656
2.242,0.783,0.939
2.252,0.777,0.649
2.262,0.770,0.869
2.272,0.764,0.736
2.282,0.757,0.617
2.292,0.751,0.577
2.302,0.744,0.769
2.312,0.737,0.599
2.322,0.731,0.692
2.332,0.724,0.646
2.342,0.717,0.701
2.352,0.710,0.713
2.362,0.703,0.610
2.372,0.696,0.768
2.382,0.688,0.678
2.392,0.681,0.803
2.402,0.674,0.565
2.412,0.666,0.658
2.422,0.659,0.572
2.432,0.651,0.759
2.442,0.644,0.626
2.452,0.636,0.607
2.462,0.628,0.562
2.472,0.620,0.625
2.482,0.612,0.764
2.492,0.604,0.722
2.503,0.596,0.666
2.513,0.588,0.725
2.523,0.580,0.511
2.533,0.572,0.563
2.543,0.564,0.649
2.553,0.556,0.405
2.563,0.547,0.603
2.573,0.539,0.500
2.583,0.530,0.394
2.593,0.522,0.658
2.603,0.513,0.435
2.613,0.505,0.508
2.623,0.496,0.419
2.633,0.487,0.607
2.643,0.479,0.529
2.653,0.470,0.417
2.663,0.461,0.516
2.673,0.452,0.330
2.683,0.443,0.597
2.693,0.434,0.338
2.703,0.425,0.462
2.713,0.416,0.635
2.723,0.407,0.501
2.733,0.398,0.352
2.743,0.388,0.318
2.753,0.379,0.292
2.763,0.370,0.415
2.773,0.361,0.374
2.783,0.351,0.408
2.793,0.342,0.251
2.803,0.332,0.551
2.813,0.323,0.257
2.823,0.313,0.171
2.833,0.304,0.310
2.843,0.294,0.114
2.853,0.285,0.278
2.863,0.275,0.106
2.873,0.265,0.445
2.883,0.256,0.233
2.893,0.246,0.273
2.903,0.236,0.222
2.913,0.227,0.163
2.923,0.217,0.290
2.933,0.207,0.223
2.943,0.197,0.213
2.953,0.188,0.064
2.963,0.178,0.215
2.973,0.168,0.226
2.983,0.158,-0.078
2.993,0.148,0.280
3.003,0.138,0.094
3.013,0.128,0.130
3.023,0.118,0.117
3.033,0.108,-0.001
3.043,0.098,0.064
3.053,0.088,0.027
3.063,0.078,0.130
3.073,0.068,0.174
3.083,0.058,-0.110
3.093,0.048,0.017
3.103,0.038,-0.156
3.113,0.028,-0.075
3.123,0.018,0.017
3.133,0.008,0.056
3.143,-0.002,0.010
3.153,-0.012,-0.066
3.163,-0.022,-0.153
3.173,-0.032,-0.206
3.183,-0.042,-0.006
3.193,-0.052,0.017
3.203,-0.062,-0.017
3.213,-0.072,0.041
3.223,-0.082,0.016
3.233,-0.092,-0.250
3.243,-0.101,-0.146
3.253,-0.111,0.005
3.263,-0.121,-0.156
3.273,-0.131,-0.165
3.283,-0.141,0.054
3.293,-0.151,-0.010
3.303,-0.161,-0.020
3.313,-0.171,-0.218
3.323,-0.181,-0.159
3.333,-0.191,-0.241
3.343,-0.200,-0.193
3.353,-0.210,-0.172
3.363,-0.220,-0.257
3.373,-0.230,-0.326
3.383,-0.239,-0.172
3.393,-0.249,-0.240
3.403,-0.259,-0.167
3.413,-0.268,-0.242
3.423,-0.278,-0.070
3.433,-0.288,-0.058
3.443,-0.297,-0.329
3.453,-0.307,-0.292
3.463,-0.316,-0.128
3.473,-0.326,-0.308
3.483,-0.335,-0.440
3.493,-0.345,-0.225
3.504,-0.354,-0.138
3.514,-0.363,-0.294
3.524,-0.373,-0.250
3.534,-0.382,-0.212
3.544,-0.391,-0.258
3.554,-0.400,-0.450
3.564,-0.410,-0.287
3.574,-0.419,-0.372
3.584,-0.428,-0.376
3.594,-0.437,-0.374
3.604,-0.446,-0.463
3.614,-0.455,-0.345
3.624,-0.464,-0.352
3.634,-0.472,-0.403
3.644,-0.481,-0.555
3.654,-0.490,-0.512
3.664,-0.499,-0.481
3.674,-0.507,-0.600
3.684,-0.516,-0.515
3.694,-0.524,-0.491
3.704,-0.533,-0.594
3.714,-0.541,-0.532
3.724,-0.550,-0.523
3.734,-0.558,-0.729
3.744,-0.566,-0.504
3.754,-0.575,-0.777
3.764,-0.583,-0.379
3.774,-0.591,-0.570
3.784,-0.599,-0.517
3.794,-0.607,-0.645
3.804,-0.615,-0.748
3.814,-0.623,-0.468
3.824,-0.631,-0.688
3.834,-0.638,-0.559
3.844,-0.646,-0.466
3.854,-0.654,-0.610
3.864,-0.661,-0.630
3.874,-0.669,-0.704
3.884,-0.676,-0.802
3.894,-0.683,-0.803
3.904,-0.691,-0.724
3.914,-0.698,-0.652
3.924,-0.705,-0.694
3.934,-0.712,-0.672
3.944,-0.719,-0.672
3.954,-0.726,-0.747
3.964,-0.733,-0.657
3.974,-0.740,-0.712
3.984,-0.746,-0.603
3.994,-0.753,-0.858
4.004,-0.759,-0.785
4.014,-0.766,-0.670
4.024,-0.772,-0.877
4.034,-0.779,-0.633
4.044,-0.785,-0.714
4.054,-0.791,-0.901
4.064,-0.797,-0.968
4.074,-0.803,-0.787
4.084,-0.809,-0.862
4.094,-0.815,-0.720
4.104,-0.821,-0.758
4.114,-0.826,-0.670
4.124,-0.832,-0.784
4.134,-0.837,-0.863
4.144,-0.843,-0.773
4.154,-0.848,-0.855
4.164,-0.853,-0.897
4.174,-0.859,-0.894
4.184,-0.864,-0.837
4.194,-0.869,-0.875
4.204,-0.874,-0.898
4.214,-0.878,-0.926
4.224,-0.883,-0.736
4.234,-0.888,-0.855
4.244,-0.892,-1.074
4.254,-0.897,-0.981
4.264,-0.901,-0.792
4.274,-0.906,-0.839
4.284,-0.910,-0.821
4.294,-0.914,-0.863
4.304,-0.918,-0.855
4.314,-0.922,-0.828
4.324,-0.926,-0.984
4.334,-0.929,-0.935
4.344,-0.933,-0.971
4.354,-0.937,-1.141
4.364,-0.940,-0.890
4.374,-0.943,-0.805
4.384,-0.947,-0.981
4.394,-0.950,-0.965
4.404,-0.953,-1.204
4.414,-0.956,-1.081
4.424,-0.959,-0.905
4.434,-0.962,-0.907
4.444,-0.964,-1.078
4.454,-0.967,-0.894
4.464,-0.969,-0.950
4.474,-0.972,-1.084
4.484,-0.974,-1.034
4.494,-0.976,-0.836
4.505,-0.978,-1.032
4.515,-0.980,-1.044
4.525,-0.982,-1.015
4.535,-0.984,-0.975
4.545,-0.986,-0.938
4.555,-0.988,-1.005
4.565,-0.989,-1.092
4.575,-0.991,-1.094
4.585,-0.992,-1.052
4.595,-0.993,-0.850
4.605,-0.994,-1.046
4.615,-0.995,-1.026
4.625,-0.996,-1.179
4.635,-0.997,-1.116
4.645,-0.998,-1.076
4.655,-0.998,-1.036
4.665,-0.999,-0.948
4.675,-0.999,-1.164
4.685,-1.000,-0.877
4.695,-1.000,-0.790
4.705,-1.000,-0.987
4.715,-1.000,-1.251
4.725,-1.000,-1.196
4.735,-1.000,-0.997
4.745,-0.999,-1.116
4.755,-0.999,-0.905
4.765,-0.999,-0.956
4.775,-0.998,-1.011
4.785,-0.997,-1.068
4.795,-0.997,-1.075
4.805,-0.996,-1.186
4.815,-0.995,-0.948
4.825,-0.994,-0.992
4.835,-0.993,-0.905
4.845,-0.991,-0.948
4.855,-0.990,-1.173
4.865,-0.988,-0.811
4.875,-0.987,-0.969
4.885,-0.985,-1.069
4.895,-0.983,-0.927
4.905,-0.982,-1.099
4.915,-0.980,-1.087
4.925,-0.977,-0.935
4.935,-0.975,-1.031
4.945,-0.973,-0.959
4.955,-0.971,-0.928
4.965,-0.968,-1.054
4.975,-0.966,-1.097
4.985,-0.963,-0.988
4.995,-0.960,-1.044
5.005,-0.957,-0.876
5.015,-0.955,-1.009
5.025,-0.952,-1.047
5.035,-0.948,-0.965
5.045,-0.945,-1.011
5.055,-0.942,-0.993
5.065,-0.938,-0.973
5.075,-0.935,-0.849
5.085,-0.931,-0.919
5.095,-0.928,-0.872
5.105,-0.924,-0.985
5.115,-0.920,-1.114
5.125,-0.916,-1.056
5.135,-0.912,-1.005
5.145,-0.908,-0.759
5.155,-0.904,-0.861
5.165,-0.899,-0.838
5.175,-0.895,-0.815
5.185,-0.890,-0.829
5.195,-0.886,-0.815
5.205,-0.881,-0.719
5.215,-0.876,-0.792
5.225,-0.871,-0.703
5.235,-0.866,-0.793
5.245,-0.861,-0.935
5.255,-0.856,-0.834
5.265,-0.851,-0.655
5.275,-0.846,-0.827
5.285,-0.840,-0.896
5.295,-0.835,-0.790
5.305,-0.829,-1.013
5.315,-0.824,-0.594
5.325,-0.818,-0.786
5.335,-0.812,-0.811
5.345,-0.806,-0.801
5.355,-0.800,-0.773
5.365,-0.794,-0.866
5.375,-0.788,-0.799
5.385,-0.782,-0.798
5.395,-0.776,-0.861
5.405,-0.769,-0.716
5.415,-0.763,-0.912
5.425,-0.756,-0.842
5.435,-0.750,-0.731
5.445,-0.743,-0.807
5.455,-0.736,-0.736
5.465,-0.730,-0.770
5.475,-0.723,-0.745
5.485,-0.716,-0.721
5.495,-0.709,-0.825
5.506,-0.702,-0.871
5.516,-0.694,-0.647
5.526,-0.687,-0.538
5.536,-0.680,-0.704
5.546,-0.673,-0.613
5.556,-0.665,-0.656
5.566,-0.658,-0.672
5.576,-0.650,-0.453
5.586,-0.642,-0.609
5.596,-0.635,-0.647
5.606,-0.627,-0.782
5.616,-0.619,-0.591
5.626,-0.611,-0.538
5.636,-0.603,-0.710
5.646,-0.595,-0.474
5.656,-0.587,-0.622
5.666,-0.579,-0.594
5.676,-0.571,-0.498
5.686,-0.563,-0.349
5.696,-0.554,-0.592
5.706,-0.546,-0.677
5.716,-0.537,-0.478
5.726,-0.529,-0.325
5.736,-0.521,-0.653
5.746,-0.512,-0.520
5.756,-0.503,-0.478
5.766,-0.495,-0.215
5.776,-0.486,-0.437
5.786,-0.477,-0.270
5.796,-0.468,-0.667
5.806,-0.459,-0.517
5.816,-0.451,-0.483
5.826,-0.442,-0.341
5.836,-0.433,-0.608
5.846,-0.424,-0.282
5.856,-0.414,-0.333
5.866,-0.405,-0.541
5.876,-0.396,-0.363
5.886,-0.387,-0.590
5.896,-0.378,-0.480
5.906,-0.368,-0.438
5.916,-0.359,-0.400
5.926,-0.350,-0.241
5.936,-0.340,-0.275
5.946,-0.331,-0.415
5.956,-0.321,-0.378
5.966,-0.312,-0.356
5.976,-0.302,-0.455
5.986,-0.293,-0.277
5.996,-0.283,-0.235
6.006,-0.274,-0.412
6.016,-0.264,-0.364
6.026,-0.254,-0.198
6.036,-0.245,-0.277
6.046,-0.235,-0.201
6.056,-0.225,-0.226
6.066,-0.215,-0.172
6.076,-0.206,-0.137
6.086,-0.196,-0.146
6.096,-0.186,-0.069
6.106,-0.176,-0.154
6.116,-0.166,-0.170
6.126,-0.156,-0.161
6.136,-0.147,-0.112
6.146,-0.137,-0.232
6.156,-0.127,-0.174
6.166,-0.117,-0.307
6.176,-0.107,0.066
6.186,-0.097,0.099
6.196,-0.087,-0.033
6.206,-0.077,-0.021
6.216,-0.067,-0.081
6.226,-0.057,-0.096
6.236,-0.047,-0.190
6.246,-0.037,-0.020
6.256,-0.027,-0.041
6.266,-0.017,0.051
6.276,-0.007,0.028
6.286,0.003,-0.227
6.296,0.013,-0.068
6.306,0.023,-0.023
6.316,0.033,0.058
6.326,0.043,-0.171
6.336,0.053,0.146
6.346,0.063,0.134
6.356,0.073,0.018
6.366,0.083,0.026
6.376,0.093,0.071
6.386,0.103,0.074
6.396,0.113,0.054
6.406,0.123,0.024
6.416,0.133,-0.004
6.426,0.143,0.188
6.436,0.153,0.159
6.446,0.163,0.201
6.456,0.172,0.214
6.466,0.182,0.182
6.476,0.192,0.122
6.486,0.202,0.385
6.496,0.212,0.232
6.507,0.221,0.303
6.517,0.231,0.118
6.527,0.241,0.415
6.537,0.251,0.121
6.547,0.260,0.219
6.557,0.270,0.292
6.567,0.280,0.192
6.577,0.289,0.350
6.587,0.299,0.411
6.597,0.308,0.419
6.607,0.318,0.174
6.617,0.327,0.253
6.627,0.337,0.423
6.637,0.346,0.210
6.647,0.356,0.235
6.657,0.365,0.332
6.667,0.374,0.327
6.677,0.383,0.523
6.687,0.393,0.369
6.697,0.402,0.349
6.707,0.411,0.517
6.717,0.420,0.442
6.727,0.429,0.496
6.737,0.438,0.572
6.747,0.447,0.550
6.757,0.456,0.532
6.767,0.465,0.571
6.777,0.474,0.612
6.787,0.483,0.622
6.797,0.491,0.523
6.807,0.500,0.445
6.817,0.509,0.519
6.827,0.517,0.663
6.837,0.526,0.556
6.847,0.534,0.478
6.857,0.543,0.454
6.867,0.551,0.616
6.877,0.559,0.585
6.887,0.568,0.518
6.897,0.576,0.511
6.907,0.584,0.578
6.917,0.592,0.665
6.927,0.600,0.659
6.937,0.608,0.636
6.947,0.616,0.520
6.957,0.624,0.649
6.967,0.632,0.775
6.977,0.639,0.580
6.987,0.647,0.718
6.997,0.655,0.551
7.007,0.662,0.551
7.017,0.670,0.647
7.027,0.677,0.782
7.037,0.684,0.612
7.047,0.692,0.677
7.057,0.699,0.483
7.067,0.706,0.814
7.077,0.713,0.725
7.087,0.720,0.684
7.097,0.727,0.737
7.107,0.734,0.869
7.117,0.741,0.845
7.127,0.747,0.547
7.137,0.754,0.701
7.147,0.760,0.925
7.157,0.767,0.827
7.167,0.773,0.627
7.177,0.780,0.774
7.187,0.786,0.776
7.197,0.792,0.892
7.207,0.798,0.834
7.217,0.804,0.865
7.227,0.810,0.772
7.237,0.816,0.632
7.247,0.822,0.713
7.257,0.827,0.751
7.267,0.833,1.032
7.277,0.838,0.646
7.287,0.844,0.749
7.297,0.849,0.884
7.307,0.854,0.862
7.317,0.859,0.831
7.327,0.864,0.895
7.337,0.869,0.896
7.347,0.874,0.884
7.357,0.879,0.895
7.367,0.884,0.834
7.377,0.889,0.693
7.387,0.893,0.901
7.397,0.898,0.914
7.407,0.902,1.008
7.417,0.906,0.748
7.427,0.910,0.878
7.437,0.914,0.889
7.447,0.918,0.719
7.457,0.922,0.835
7.467,0.926,0.794
7.477,0.930,0.957
7.487,0.934,0.844
7.497,0.937,0.863
7.508,0.941,1.123
7.518,0.944,0.661
7.528,0.947,0.796
7.538,0.950,0.953
7.548,0.953,1.007
7.558,0.956,1.056
7.568,0.959,0.895
7.578,0.962,1.148
7.588,0.965,0.842
7.598,0.967,1.017
7.608,0.970,0.856
7.618,0.972,1.011
7.628,0.974,1.160
7.638,0.977,1.216
7.648,0.979,1.046
7.658,0.981,1.046
7.668,0.983,0.908
7.678,0.984,1.089
7.688,0.986,0.831
7.698,0.988,1.022
7.708,0.989,1.066
7.718,0.991,1.174
7.728,0.992,1.028
7.738,0.993,0.902
7.748,0.994,0.921
7.758,0.995,0.854
7.768,0.996,0.853
7.778,0.997,0.914
7.788,0.998,1.078
7.798,0.998,1.182
7.808,0.999,0.904
7.818,0.999,1.171
7.828,1.000,1.111
7.838,1.000,0.813
7.848,1.000,1.132
7.858,1.000,1.081
7.868,1.000,1.087
7.878,1.000,0.856
7.888,0.999,1.088
7.898,0.999,1.140
7.908,0.999,1.137
7.918,0.998,1.104
7.928,0.997,1.088
7.938,0.996,1.079
7.948,0.996,1.298
7.958,0.995,0.910
7.968,0.994,0.892
7.978,0.992,0.795
7.988,0.991,1.150
7.998,0.990,0.923
8.008,0.988,0.966
8.018,0.987,0.952
8.028,0.985,0.827
8.038,0.983,0.965
8.048,0.981,0.891
8.058,0.979,1.009
8.068,0.977,1.019
8.078,0.975,1.169
8.088,0.973,1.015
8.098,0.970,0.880
8.108,0.968,0.944
8.118,0.965,0.947
8.128,0.963,0.985
8.138,0.960,1.034
8.148,0.957,0.919
8.158,0.954,0.856
8.168,0.951,0.976
8.178,0.948,1.117
8.188,0.945,1.021
8.198,0.941,0.902
8.208,0.938,0.990
8.218,0.934,0.993
8.228,0.931,0.839
8.238,0.927,1.128
8.248,0.923,0.916
8.258,0.919,0.854
8.268,0.915,0.942
8.278,0.911,0.764
8.288,0.907,0.854
8.298,0.903,0.833
8.308,0.899,1.060
8.318,0.894,0.818
8.328,0.890,1.062
8.338,0.885,0.899
8.348,0.880,0.765
8.358,0.875,0.706
8.368,0.871,0.890
8.378,0.866,0.828
8.388,0.861,0.853
8.398,0.855,0.732
8.408,0.850,0.821
8.418,0.845,0.827
8.428,0.839,0.800
8.438,0.834,0.853
8.448,0.828,0.725
8.458,0.823,0.760
8.468,0.817,0.802
8.478,0.811,0.746
8.488,0.805,0.855
8.498,0.799,0.825
8.509,0.793,0.796
8.519,0.787,0.721
8.529,0.781,0.867
8.539,0.775,0.682
8.549,0.768,0.800
8.559,0.762,0.838
8.569,0.755,0.903
8.579,0.749,0.641
8.589,0.742,0.556
8.599,0.735,0.872
8.609,0.729,0.694
8.619,0.722,0.590
8.629,0.715,0.608
8.639,0.708,0.626
8.649,0.701,0.664
8.659,0.693,0.962
8.669,0.686,0.665
8.679,0.679,0.730
8.689,0.671,0.678
8.699,0.664,0.622
8.709,0.656,0.767
8.719,0.649,0.700
8.729,0.641,0.640
8.739,0.633,0.638
8.749,0.626,0.703
8.759,0.618,0.684
8.769,0.610,0.588
8.779,0.602,0.754
8.789,0.594,0.606
8.799,0.586,0.437
8.809,0.578,0.584
8.819,0.570,0.536
8.829,0.561,0.641
8.839,0.553,0.685
8.849,0.545,0.577
8.859,0.536,0.484
8.869,0.528,0.521
8.879,0.519,0.645
8.889,0.511,0.439
8.899,0.502,0.529
8.909,0.493,0.584
8.919,0.485,0.584
8.929,0.476,0.553
8.939,0.467,0.516
8.949,0.458,0.390
8.959,0.449,0.417
8.969,0.440,0.459
8.979,0.431,0.347
8.989,0.422,0.528
8.999,0.413,0.280
9.009,0.404,0.473
9.019,0.395,0.373
9.029,0.385,0.286
9.039,0.376,0.366
9.049,0.367,0.262
9.059,0.358,0.283
9.069,0.348,0.418
9.079,0.339,0.482
9.089,0.329,0.571
9.099,0.320,0.197
9.109,0.310,0.282
9.119,0.301,0.290
9.129,0.291,0.214
9.139,0.282,0.172
9.149,0.272,0.271
9.159,0.263,0.275
9.169,0.253,0.116
9.179,0.243,0.379
9.189,0.233,0.464
9.199,0.224,0.054
9.209,0.214,0.350
9.219,0.204,0.233
9.229,0.194,0.051
9.239,0.184,0.202
9.249,0.175,-0.006
9.259,0.165,-0.034
9.269,0.155,0.182
9.279,0.145,0.188
9.289,0.135,0.261
9.299,0.125,0.090
9.309,0.115,0.189
9.319,0.105,0.075
9.329,0.095,0.170
9.339,0.085,0.112
9.349,0.075,0.150
9.359,0.065,0.048
9.369,0.055,0.091
9.379,0.045,0.151
9.389,0.035,0.062
9.399,0.025,0.213
9.409,0.015,-0.138
9.419,0.005,-0.041
9.429,-0.005,-0.161
9.439,-0.015,0.078
9.449,-0.025,-0.052
9.459,-0.035,-0.024
9.469,-0.045,-0.067
9.479,-0.055,-0.136
9.489,-0.065,-0.145
9.499,-0.075,-0.082
9.510,-0.085,-0.106
9.520,-0.095,-0.115
9.530,-0.105,-0.069
9.540,-0.115,-0.021
9.550,-0.124,-0.099
9.560,-0.134,-0.271
9.570,-0.144,-0.173
9.580,-0.154,-0.094
9.590,-0.164,-0.331
9.600,-0.174,-0.005
9.610,-0.184,-0.027
9.620,-0.194,-0.325
9.630,-0.203,-0.338
9.640,-0.213,-0.290
9.650,-0.223,-0.112
9.660,-0.233,-0.435
9.670,-0.242,-0.345
9.680,-0.252,-0.432
9.690,-0.262,-0.316
9.700,-0.271,-0.092
9.710,-0.281,-0.290
9.720,-0.291,-0.309
9.730,-0.300,-0.211
9.740,-0.310,-0.163
9.750,-0.319,-0.238
9.760,-0.329,-0.287
9.770,-0.338,-0.364
9.780,-0.348,-0.325
9.790,-0.357,-0.207
9.800,-0.366,-0.418
9.810,-0.376,-0.353
9.820,-0.385,-0.362
9.830,-0.394,-0.391
9.840,-0.403,-0.421
9.850,-0.412,-0.332
9.860,-0.421,-0.484
9.870,-0.431,-0.404
9.880,-0.440,-0.516
9.890,-0.449,-0.433
9.900,-0.457,-0.392
9.910,-0.466,-0.313
9.920,-0.475,-0.507
9.930,-0.484,-0.490
9.940,-0.493,-0.514
9.950,-0.501,-0.467
9.960,-0.510,-0.463
9.970,-0.519,-0.471
9.980,-0.527,-0.286
9.990,-0.536,-0.521
10.000,-0.544,-0.668
